pmid,title,abstract,authors,journal,publication_date,journal_issue_date,doi,pubmed_url,gene_evidence_level,gene_evidence_genes,mitochondrial_process_evidence_level,mitochondrial_process_evidence,senescence_evidence_level,senescence_evidence,model_evidence_level,model_evidence,omics_evidence_level,omics_evidence,biological_score,biological_score_normalized,biological_rank,semantic_similarity,semantic_rank,semantic_normalized,biological_normalized,hybrid_score,hybrid_rank,primary_gene_count,primary_gene_present,core_mito_process_count,direct_mito_senescence,preferred_model_present,multiomics_present,strong_biological_evidence,phd_priority_feature_score,research_priority,source_file,source_batch,pipeline_version,evidence_source,biological_score_source,semantic_model,priority_feature_source,title_feat,O2_multiomics_integration_level,O3_hub_gene_level,O4_core_mito_process_level,O5_mechanistic_connection_level,hybrid_component,mechanistic_component,hub_component,pathway_component,omics_component,model_component,final_phd_priority_score,final_phd_rank,final_priority_category
42212306,PRKN Ser131 phosphorylation promotes cigarette smoke-induced mitophagy impairment and epithelial cell senescence via MKK3/p38 MAPK activation: An in vitro and in vivo study.,"INTRODUCTION: Cigarette smoke (CS) exposure impairs mitochondrial function and promotes senescence in airway epithelial cells, contributing to the pathogenesis of chronic obstructive pulmonary disease (COPD). However, the molecular mechanisms linking mitophagy dysfunction to cellular senescence remain poorly understood. Parkin (PRKN) is a key regulator of mitophagy, but whether PRKN Ser131 phosphorylation contributes to CS-induced impairment of mitophagy and senescence remains unclear. Therefore, this study aimed to investigate the role of PRKN Ser131 phosphorylation in CS-induced impairment of mitophagy and epithelial cell senescence, and to explore the underlying mechanism. METHODS: This laboratory-based experimental study utilized human bronchial epithelial BEAS-2B cells exposed to cigarette smoke extract (CSE) and a mouse model of CS-induced emphysema. Molecular interventions included mutation of PRKN at Ser131, and knockdown of mitogen-activated protein kinase kinase 3 (MKK3) to modulate the downstream p38 mitogen-activated protein kinase (p38 MAPK) pathway. Mitophagy activity, mitochondrial reactive oxygen species (ROS), and senescence markers were evaluated. RESULTS: Exposure to cigarette smoke extract (CSE) increased MKK3 expression and activated the p38 MAPK pathway, leading to phosphorylation of PRKN at Ser131. This phosphorylation was accompanied by reduced mitophagy-related readouts and increased mitochondrial ROS. Both MKK3 knockdown and modulation of mitochondrial quality-control pathways were associated with improved mitophagy-related readouts and reduced senescence markers under CSE exposure. Moreover, cells expressing the PRKN S131A mutant exhibited significantly improved mitophagy flux, reduced ROS levels, and attenuated senescence compared to wild-type PRKN. In vivo, emphysematous lungs showed increased MKK3 and senescence markers alongside decreased PRKN and PTEN-induced kinase 1 (PINK1) expression. CONCLUSIONS: Our findings suggest that the MKK3/p38 MAPK-PRKN Ser131 axis contributes to CS-induced mitophagy impairment and epithelial senescence. Additional studies are needed to strengthen the evidence and evaluate the translational potential of targeting this pathway in COPD.","Yajie Hu, Jianyu Liu, Mengyu Zhang, Jiajia Qu, Wenqiang Hao, Xinmiao Zhu, Dawei Wu, Shuo Jiang, Yiqing Qu",Tobacco induced diseases,2026-05-27,2026,10.18332/tid/218816,https://pubmed.ncbi.nlm.nih.gov/42212306/,3,PINK1;PRKN,3,mitophagy;mitochondrial ros,3,cellular senescence,0,,0,,48.0,0.7272727272727273,1,0.6187264,25,0.7966118243502253,1.0,0.91864472974009,1,2,1,2,1,0,0,1,13,Very High,,batch003,,,,,,PRKN Ser131 phosphorylation promotes cigarette smoke-induced mitophagy impairment and epithelial cell senescence via MKK3/p38 MAPK activation: An in vitro and in vivo study.,0,2,2,3,0.91864472974009,1.0,1.0,1.0,0.0,0.0,82.15256554090315,1,Critical
42422171,Menaquinone-7 alleviates mitochondrial dysfunction and senescence in senile osteoporosis by targeting the PINK1-mediated mitophagy via PXR/ERK/CREB signaling pathway.,"Current therapeutic strategies for senile osteoporosis inadequately address its low-turnover pathology driven by mitochondrial dysfunction and cellular senescence. This study identifies menaquinone-7 (MK-7), a vitamin K2 isoform, as a novel therapeutic agent targeting mitochondrial homeostasis in senile osteoporosis. Through RNA sequencing analysis and intramedullary adeno-associated virus (AAV)-based gene manipulation in aged mice, cellular communication network factor 2 (Ccn2) was identified as a critical mediator of MK-7's bone-protective effects. Biochemical and proteomic assays revealed that MK-7 binds to the nuclear receptor pregnane X receptor (PXR), activating the extracellular signal-regulated kinases 1/2 (ERK1/2)/cyclic AMP-responsive element-binding protein (CREB) signaling cascade to upregulate Ccn2 in senescent bone marrow mesenchymal stem cells (BMSCs). This pathway enhanced PTEN-induced kinase 1 (PINK1)/Parkin-mediated mitophagy, reducing mitochondrial DNA damage, reactive oxygen species (mtROS), and senescence-associated secretory phenotype (SASP), while restoring metabolic function. MK-7 redirected BMSC differentiation from adipogenic to osteogenic lineages, effectively mitigating age-related bone loss in vivo. Mechanistically, MK-7 stabilized PXR via direct interaction at the F285 residue, as confirmed by drug affinity responsive target stability (DARTS), cellular thermal shift assay (CETSA), and molecular docking. PXR activation further promoted ERK1/2/CREB-dependent Ccn2 expression, which orchestrated mitochondrial quality control and cellular energy metabolism. Our findings establish MK-7 as a dual-function agent that concurrently alleviates senescence and metabolic imbalance in bone tissue, offering a safe and targeted strategy for senile osteoporosis. This study provides critical insights into the pharmacological modulation of mitochondrial pathways and highlights MK-7's translational potential in geriatric bone health.","Yu Xu, Wencan Zhang, Wenpeng Xu, Shangzhi Li, Dingxin Zhang, Xiangyu Lin, Jincheng Liu, Qingyang Fu, Peijie Hu, Haipeng Si",Journal of pharmaceutical analysis,2025-08-09,2026 Jun,10.1016/j.jpha.2025.101432,https://pubmed.ncbi.nlm.nih.gov/42422171/,1,PINK1;PRKN,2,mitophagy;mitochondrial quality control;mitochondrial homeostasis;mitochondrial dysfunction,3,cellular senescence,1,bmsc,1,proteomics,40.0,0.6060606060606061,4,0.58568424,51,0.7277363706701296,0.8333333333333334,0.7910945482680518,6,2,1,3,1,0,0,0,11,Very High,,batch003,,,,,,Menaquinone-7 alleviates mitochondrial dysfunction and senescence in senile osteoporosis by targeting the PINK1-mediated mitophagy via PXR/ERK/CREB signaling pathway.,2,1,2,3,0.7910945482680518,1.0,0.5,1.0,0.6666666666666666,0.0,76.85497585604847,2,Critical
42526698,Inhibition of ETS1/DRP1 axis attenuates intervertebral disc degeneration by suppressing excessive mitochondrial fission.,"Intervertebral disc degeneration (IVDD) is a predominant contributor to low back pain, characterized by nucleus pulposus cell (NPC) senescence, extracellular matrix (ECM) metabolic dysfunction, and chronic inflammation. Excessive mitochondrial fission contributes to IVDD, yet the underlying regulatory mechanisms remain unclear. Herein, we identified ETS proto-oncogene 1 (ETS1) as a critical regulator of mitochondrial fission in human NPCs. ETS1 was upregulated in severe human IVDD and correlated with disc degeneration severity and NPC senescence. Mechanistically, inflammatory cytokines induced ETS1 upregulation, which directly bound to the dynamin 1-like (DNM1L, encoding DRP1) promoter and activated its transcription. Increased DRP1 triggered excessive mitochondrial fission, leading to reactive oxygen species accumulation, NPC senescence, and ECM catabolism. Inhibition of ETS1 via AAV5-mediated RNA interference or targeting DRP1 with CRISPR/dCas9-KRAB system or Mdivi-1 alleviated mitochondrial dysfunction, cellular senescence, ECM degradation, and attenuated IVDD progression. Collectively, our findings revealed the ETS1/DRP1 axis as a novel pathogenic mechanism and a potential therapeutic target in IVDD.","Pengfei Li, Yichen Que, Shuhao Zhang, Ganggang Zhang, Rui Tang, Han Jia, Yasong Zhao, Hongjian Liu, Yuqiang Wang, Yilin Liu",Cellular signalling,2026-07-29,2026 Dec,10.1016/j.cellsig.2026.112769,https://pubmed.ncbi.nlm.nih.gov/42526698/,3,DNM1L,3,mitochondrial fission;mitochondrial dysfunction,3,cellular senescence,0,,0,,48.0,0.7272727272727273,3,0.6101524,17,0.7165443432077703,0.875,0.8116177372831082,2,1,1,1,1,0,0,1,13,Very High,pubmed_articles.csv,batch_001,canonical_literature_v1,phd_evidence_strength_v1,phd_biological_score_v1,sentence-transformers/all-MiniLM-L6-v2,pubmed_phd_priority_features_v1,,0,2,1,3,0.8116177372831082,1.0,1.0,0.5,0.0,0.0,73.4066208049088,3,High
42385795,A critical role for mitochondrial dynamics in cigarette smoke condensate-induced RPE senescence.,"Age-related macular degeneration (AMD) is the leading cause of blindness in the elderly. Its pathogenesis remains incompletely understood, partly due to the complex interplay of genetic risk, aging, and environmental stressors. Cigarette smoking (CS) is a major modifiable risk factor for AMD, yet the mechanism linking CS to disease progression remains unclear. We hypothesized that CS accelerates AMD pathogenesis by exacerbating cellular senescence in the retinal pigment epithelium (RPE), thereby driving age-related RPE dysfunction and degeneration. In this study, differentiated ARPE-19 cells or mice were exposed to low-dose cigarette smoke condensate (CSC) to model stress-induced RPE senescence. CSC induced senescence-associad RPE phenotypes characterized by increased senescence markers, mitochondrial dysfunction, and retinal functional impairment. RPE senescence phenotypes were also detected in mice exposed to 6 months of CS in the smoking chamber. CSC-induced RPE senescence was associated with a biphasic alteration in mitochondrial morphology, progressing from early mitochondrial fragmentation to late mitochondrial hyperfusion, as well as impaired mitophagy flux, reduced mitochondrial turnover, and decreased mitochondrial biogenesis. Mechanistically, CSC increased dynamin-related protein 1 (DRP1) phosphorylation and promoted cleavage of the mitochondrial phosphatase PGAM5, linking reduced DRP1-dependent fission to mitochondrial remodeling, elevated mitochondrial oxidative stress, and activation of mTOR signaling. Notably, overexpression of a DRP1 activity mutant (K38A) mimics the CSC-induced RPE senescence, while overexpression of the phosphodeficient DRP1-S637A mutant significantly attenuates both mTOR signaling and CSC-induced RPE senescence by restoring mitochondrial fission balance, improving mitochondrial quality-control responses, and reducing mitochondrial oxidative stress. Collectively, these findings identify impaired DRP1-dependent mitochondrial remodeling as a key mechanism linking CSC exposure to RPE senescence. While we confirmed the RPE senescence phenotype in mice after chronic CS exposure, the specific mechanisms observed in this study require further validation in a chronic CS model. These findings encourage future research into mitochondrial dynamics and RPE senescence in AMD, suggesting that modulating RPE mitochondrial dynamics holds therapeutic potential for delaying AMD progression.","Qi Zhou, Zunyi Zhang, Yinga Wu, Chunmin Dong, Chen-Chuan Wu, James T Handa, Jing Ma, Shusheng Wang",Free radical biology & medicine,2026-07-01,2026 Oct,10.1016/j.freeradbiomed.2026.06.060,https://pubmed.ncbi.nlm.nih.gov/42385795/,3,DNM1L,3,mitochondrial fission;mitochondrial dynamics;mitophagy;mitochondrial biogenesis;mitochondrial dysfunction,3,cellular senescence;senescence phenotype,1,rpe,0,,51.0,0.7727272727272727,2,0.5603476,41,0.6157277651185545,0.9375,0.8087911060474218,3,1,1,4,1,0,0,1,13,Very High,pubmed_articles.csv,batch_001,canonical_literature_v1,phd_evidence_strength_v1,phd_biological_score_v1,sentence-transformers/all-MiniLM-L6-v2,pubmed_phd_priority_features_v1,,0,1,2,3,0.8087911060474218,1.0,0.5,1.0,0.0,0.0,70.80768871165975,4,High
42216043,Inhibiting the Hif-1α-Drp1 axis alleviates mitochondrial dysfunction and reduces senescence-like changes in myocardial tissue after acute myocardial infarction.,"BACKGROUND: Cellular senescence is a significant pathological process in acute myocardial infarction (AMI), yet its upstream regulatory mechanisms remain unclear. This study reveals that the HIF-1α /Drp1 signaling axis serves as a critical link between hypoxia and senescence-like changes in myocardial tissue by disrupting mitochondrial homeostasis. METHODS: Using rat AMI model (in vivo) and hypoxia‑exposed H9c2 cardiomyocytes (in vitro), we assessed mitochondrial morphology, mtROS, and senescence markers. Genetic gain‑ and loss‑of‑function approaches were applied to modulate Drp1 and HIF‑1α. We further evaluated the effects of the mitochondrial fission inhibitor Mdivi‑1 and the SASP inhibitor Ruxolitinib on mitochondrial function, senescence, and apoptosis. RESULTS: AMI/hypoxia activated the ERK1/2-Akt pathway, promoting Drp1 Ser616 phosphorylation and mitochondrial translocation, leading to excessive fission, mtROS burst, and senescence-like changes in myocardial tissue (in vivo) / cardiomyocyte senescence (in H9c2 cells). HIF-1α transcriptionally regulated Drp1 expression. Mdivi-1 restored mitochondrial dynamics, reduced SASP-related inflammation, and improved cardiac function, indicating a myocardial protective effect. Ruxolitinib suppressed Drp1 Ser616 phosphorylation and alleviated senescence, apoptosis, and pyroptosis. CONCLUSION: HIF-1α-mediated upregulation of Drp1 and ERK-dependent phosphorylation of Drp1 collectively drive mitochondrial dysfunction and senescence-like changes in myocardial tissue in AMI. Targeting these pathways or the SASP pathway represents a promising therapeutic strategy.","Peng Yang, Yiheng Yang, Xiao Huang, Hongmin Zhu, Yuliang Zhan, Xinyong Cai, Zhenzhong Zheng, Qingshan Tian",Biology direct,2026-05-29,2026 May 29,10.1186/s13062-026-00847-8,https://pubmed.ncbi.nlm.nih.gov/42216043/,2,DNM1L,3,mitochondrial fission;mitochondrial dynamics;mitochondrial homeostasis;mitochondrial dysfunction,1,cellular senescence,1,myocardial,0,,35.0,0.5303030303030303,18,0.67524314,7,0.9144193801522672,0.7291666666666666,0.8032677520609068,5,1,1,3,0,0,0,0,6,Very High,,batch003,,,,,,Inhibiting the Hif-1α-Drp1 axis alleviates mitochondrial dysfunction and reduces senescence-like changes in myocardial tissue after acute myocardial infarction.,0,1,2,3,0.8032677520609068,1.0,0.5,1.0,0.0,0.0,70.61437132213173,5,High
42069238,Metformin attenuates lens epithelial cell senescence by suppressing cGAS-STING via SIRT1-PGC-1α-mediated mitochondrial fission.,"UVB-induced lens epithelial cell (LEC) senescence is among the important factors involved in the pathogenesis of age-related cataract (ARC). This study aimed to investigate the anti-aging effect of metformin (Met) and to elucidate the molecular mechanisms underlying this effect. RNA sequencing, nontargeted metabolomics analysis and network pharmacology were conducted. The expression of senescence indicators (P53 and P21Cip1) and senescence-associated β-galactosidase (SA-β-gal) activity were assessed. Mitochondrial function and dynamics were evaluated by measuring the mitochondrial membrane potential (MMP), transmission electron microscope (TEM), and Western blotting. Cytosolic mtDNA was visualized by fluorescence staining, and the activation of the SIRT1-PGC-1α pathway and the cGAS-STING pathway were analysed by Western blotting. Our findings indicated that cellular senescence was predominantly responsible for UVB-induced cataract. Met attenuated UVB-induced cataract by inhibiting the senescence phenotype. Mechanistically, Met activated the SIRT1-PGC-1α pathway to inhibit mitochondrial fragmentation. This attenuation of mitochondrial fragmentation reduced mtDNA release into the cytosol, thereby inhibiting the activation of the cGAS-STING-mediated LEC senescence. Our findings on the efficacy of Met pave the way for the development of new pharmacological strategies to prevent cataract development.","Jialin Luo, Chaoqun Wei, Liyao Sun, Huirui Liu, Yu Mi, Qi An, Chen Yang, Xiaohan Yu, Zijian Yu, Hongyan Ge",Experimental gerontology,2026-04-30,2026 Jun 15,10.1016/j.exger.2026.113157,https://pubmed.ncbi.nlm.nih.gov/42069238/,0,,2,mitochondrial fission;mitochondrial membrane potential,3,cellular senescence;senescence phenotype,0,,1,metabolomics,33.0,0.5,20,0.6483337,12,0.858327408916812,0.6875,0.7558309635667249,10,0,0,2,1,0,0,0,7,Very High,,batch003,,,,,,Metformin attenuates lens epithelial cell senescence by suppressing cGAS-STING via SIRT1-PGC-1α-mediated mitochondrial fission.,2,0,2,3,0.7558309635667249,1.0,0.0,1.0,0.6666666666666666,0.0,68.12075039150204,6,High
42503023,Unveiling the AcSirt2-FOXO-Mitophagy Axis: Insights Into Mitochondrial Quality Control and Delayed Aging in Apis cerana.,"Cellular senescence is closely associated with mitochondrial dysfunction. Sirtuin 2 (Sirt2), a member of the Sirtuin deacetylases family, plays a pivotal role in regulating energy metabolism and aging in mammals. However, its function in social insect aging remains unclear. Here, using the Eastern honey bee (Apis cerana) as a model, we demonstrate that the age-related downregulation of A. cerana Sirt2 (AcSirt2) in brain tissue is coupled with progressive mitochondrial damage, reactive oxygen species (ROS) accumulation, and a biphasic change in autophagy activity. Conversely, overexpression of AcSirt2 alleviates cellular senescence by promoting mitochondrial fusion/fission balance (via Mfn1, Mfn2, and Drp1), activating the PINK1/Parkin-mediated mitophagy pathway, improving mitochondrial integrity, reducing oxidative stress, and enhancing ATP production. In vivo, AcSirt2 knockdown shortens honey bee lifespan and impairs locomotor ability, whereas its activation reverses these aging phenotypes. Furthermore, we show that AcSirt2 interacts with the transcription factor FOXO and mediates its deacetylation. This study reveals for the first time that the AcSirt2-FOXO-mitophagy axis delays aging by maintaining mitochondrial homeostasis in a social insect, providing novel insights into the development of anti-aging strategies and the promotion of healthy beekeeping.","Qiang Ma, Zhengang Ma, Tingyue Huang, Qianmin Hai, Xiaoqun Dang, Jinshan Xu, Jialing Bao, Zachary Y Huang, Zeyang Zhou",Aging cell,,2026 Aug,10.1111/acel.70645,https://pubmed.ncbi.nlm.nih.gov/42503023/,3,DNM1L;MFN1;MFN2;PINK1;PRKN,3,mitochondrial fusion;mitophagy;mitochondrial quality control;mitochondrial homeostasis;mitochondrial dysfunction,1,cellular senescence,0,,0,,36.0,0.5454545454545454,8,0.594587,42,0.7462939236268676,0.75,0.7485175694507471,12,5,1,4,0,0,0,0,6,High,,batch003,,,,,,Unveiling the AcSirt2-FOXO-Mitophagy Axis: Insights Into Mitochondrial Quality Control and Delayed Aging in Apis cerana.,0,2,2,2,0.7485175694507471,0.6666666666666666,1.0,1.0,0.0,0.0,67.86478159744281,7,High
41990575,FTMT-mediated suppression of mitophagy links iron accumulation to osteoporosis.,"Primary osteoporosis is a major age-related disease with a significant global health burden. While iron accumulation is a known risk factor, the mechanisms linking it to bone loss remain unclear. Here, we report that impaired mitophagy in bone marrow mesenchymal stem cells (BMSCs) is a hallmark of osteoporosis and is critically exacerbated by iron accumulation. We found that iron accumulation in BMSCs inhibits mitophagy, leading to mitochondrial dysfunction, increased oxidative stress, and cellular senescence, ultimately impairing osteogenic differentiation. Importantly, targeted activation of mitophagy, either pharmacologically or genetically, restored mitochondrial health, reduced senescence, and rescued bone formation. Conversely, Pink1 deficiency in BMSCs was sufficient to induce osteoporosis. Mechanistically, we identified that the mitochondrial ferritin FTMT is upregulated under iron-loading conditions and binds to PINK1, suppressing its phosphorylation and thereby preventing mitophagy initiation. This pathway is clinically relevant, as BMSCs from osteoporotic patients with high ferritin levels showed elevated FTMT and reduced PINK1 phosphorylation. Therefore, we identify a novel pathway in which FTMT-mediated disruption of mitophagy drives iron-induced osteoporosis. Our findings highlight mitophagy activation as a therapeutic strategy to prevent and treat bone loss under iron accumulation.","Ruizhi Zhang, Yike Wang, Lei Li, Junjie Li, Guangchen Feng, Yutong Hu, Gongwen Liu, Xiongyi Wang, Jiajun Zhang, Peng Wei, Houfu Lai, Keyu Zhu, Xiao Wang, Xueqin Gao, Wen Wei, Yixuan Fang, Jianrong Wang, Na Yuan, Youjia Xu",Redox biology,2026-04-06,2026 Jun,10.1016/j.redox.2026.104157,https://pubmed.ncbi.nlm.nih.gov/41990575/,2,PINK1,3,mitophagy;mitochondrial dysfunction,3,cellular senescence,0,,0,,44.0,0.6666666666666666,2,0.5620693,67,0.6785116920738081,0.9166666666666666,0.8214046768295231,4,1,1,1,1,0,0,1,13,Very High,,batch003,,,,,,FTMT-mediated suppression of mitophagy links iron accumulation to osteoporosis.,0,1,1,3,0.8214046768295231,1.0,0.5,0.5,0.0,0.0,66.24916368903331,8,High
42249092,TIA-1 promotes FUNDC1-mediated mitophagy to protect against stress-induced cellular senescence.,"Mitochondrial dysfunction, characterized by reduced mitophagy, excessive mitochondrial elongation, and elevated reactive oxygen species production, is a hallmark of cellular senescence. However, the molecular mechanisms linking impairment of redox balance to mitophagy suppression during senescence remain poorly understood. In this study, we identified TIA-1, an RNA-binding protein, as a positive regulator of FUNDC1 expression, a key receptor for ubiquitin-independent mitophagy. Sodium butyrate and ultraviolet-B irradiation triggered oxidative stress-associated senescence in HaCaT cells, leading to reduced TIA-1 expression, decreased FUNDC1 levels, impaired mitophagy flux, excessive mitochondrial elongation, and upregulation of senescence markers. Conversely, ectopic expression of TIA-1 restored FUNDC1 levels, enhanced mitophagy, improved mitochondrial function, and reduced senescence marker expression. Ribonucleoprotein immunoprecipitation assays confirmed that TIA-1 directly interacts with FUNDC1 mRNA, and subsequent analyses indicated that TIA-1 enhances FUNDC1 expression primarily through translational control. Together, these findings establish TIA-1 as a pivotal regulator of mitochondrial homeostasis during cellular stress, acting through FUNDC1 to sustain mitophagy and limit senescence. Targeting TIA-1 may offer new strategies to mitigate mitochondrial dysfunction and restore redox balance in aging and age-related diseases.","Seongho Cha, Myeongwoo Jung, Hyosun Tak, Seungyeon Ryu, Sukyoung Han, Dongwoo Chae, Jiyoon Kim, Seung Min Jeong, Wook Kim, Eun Kyung Lee",Experimental & molecular medicine,2026-06-05,2026 Jun,10.1038/s12276-026-01752-w,https://pubmed.ncbi.nlm.nih.gov/42249092/,0,,2,mitophagy;mitochondrial homeostasis;mitochondrial dysfunction,3,cellular senescence,0,,0,,30.0,0.4545454545454545,32,0.7161961,2,0.9997846740538404,0.625,0.7749138696215362,8,0,0,2,1,0,0,0,7,Very High,,batch003,,,,,,TIA-1 promotes FUNDC1-mediated mitophagy to protect against stress-induced cellular senescence.,0,0,2,3,0.7749138696215362,1.0,0.0,1.0,0.0,0.0,62.12198543675377,9,High
42218500,ACOD1 deficiency promotes DDX1 methylation-mediated mitochondrial dysfunction and dermal papilla cell senescence in androgenetic alopecia.,"BACKGROUND: Androgenetic alopecia (AGA), the most prevalent form of hair loss, is driven by the dysfunction of dermal papilla cells (DPCs). Emerging evidence implicates DPC senescence in the pathogenesis of AGA; however, the underlying molecular mechanisms remain incompletely elucidated. METHODS: We employed a multi-faceted experimental approach, including analyses of human scalp tissues, primary DPCs, a dihydrotestosterone (DHT)-induced AGA mouse model, and immortalized DPCs stimulated with DHT. Cellular senescence was evaluated via expression of senescence markers (p16INK4a, p21, p53) and senescence-associated β-galactosidase staining. Cell proliferation, migration, and apoptosis were also assessed. Mitochondrial function was evaluated using transmission electron microscopy, MitoTracker, MitoSOX, JC-1, and Seahorse assays. RNA sequencing and bioinformatics analyses were performed to identify differentially expressed genes. The interaction between Aconitate Decarboxylase 1 (ACOD1) and DDX1 was verified via co-immunoprecipitation, mass spectrometry, and molecular docking. Metabolomic analysis was performed to profile intracellular metabolic alterations. Functional experiments included ACOD1 knockdown/overexpression and exogenous supplementation with 4-octyl itaconate (4-OI). Hair follicle morphology and hair loss in AGA mice were evaluated following 4-OI treatment. RESULTS: Senescence markers were significantly elevated in AGA DPCs, accompanied by increased senescence-associated β-galactosidase staining, reduced cell proliferation and migration, and enhanced apoptosis. DHT-induced mitochondrial dysfunction in DPCs was characterized by increased mitochondrial fragmentation, decreased mitochondrial cristae, superoxide accumulation, reduced membrane potential, and impaired oxidative phosphorylation. RNA sequencing identified ACOD1 as significantly downregulated in DHT-treated DPCs. ACOD1 knockdown induced mitochondrial dysfunction, cellular senescence, and functional impairment in DPCs, while ACOD1 overexpression ameliorated these DHT-induced phenotypes. Mechanistically, ACOD1 interacted with DDX1 to inhibit its methylation; ACOD1 knockdown enhanced DDX1 methylation, correlating with mitochondrial dysfunction and DPC senescence. Metabolomic analysis demonstrated that ACOD1 knockdown significantly reduced itaconate levels. Exogenous 4-OI supplementation reduced DDX1 methylation, ameliorated DHT-induced mitochondrial dysfunction and cellular senescence, promoted cell proliferation and migration, suppressed apoptosis, mitigated hair follicle miniaturization, and alleviated hair loss in AGA mice. CONCLUSIONS: Our findings reveal a novel mechanism underlying DPC senescence in AGA, wherein ACOD1 deficiency promotes DDX1 methylation, mitochondrial dysfunction, and subsequent DPC senescence. ACOD1 represents a promising therapeutic target for AGA, and 4-OI may have translational potential for the treatment of AGA.","Min Zhao, Qiaofang Wu, Yunbu Ding, Changpei Lu, Yimei Du, Xuewen Lin, Lingbo Bi, Chaofan Wang, Jie Ji, Weiling Sun, Weixin Fan",BMC medicine,2026-05-30,2026 May 30,10.1186/s12916-026-04967-w,https://pubmed.ncbi.nlm.nih.gov/42218500/,0,,3,mitochondrial dysfunction,3,cellular senescence,0,,2,proteomics;metabolomics,42.0,0.6363636363636364,3,0.6138939,30,0.7865386139454253,0.875,0.8396154455781701,2,0,0,0,1,0,1,1,10,Very High,,batch003,,,,,,ACOD1 deficiency promotes DDX1 methylation-mediated mitochondrial dysfunction and dermal papilla cell senescence in androgenetic alopecia.,2,0,0,3,0.8396154455781701,1.0,0.0,0.0,0.6666666666666666,0.0,61.05320726190262,10,High
