ref_id,reference,primary_genes,mitochondrial_processes,senescence_terms,omics_or_methods,knowledge_role,knowledge_role_detail,classification_basis
1,"Kennedy, B.K., Berger, S.L., Brunet, A., Campisi, J., Cuervo, A.M., Epel, E.S., Franceschi, C., Lithgow, G.J., Morimoto, R.I., Pessin, J.E., Rando, T.A., Richardson, A., Schadt, E.E., Wyss-Coray, T., & Sierra, F. (2014). Geroscience: linking aging to chronic disease. Cell, 159(4), 709–713. https://doi.org/10.1016/j.cell.2014.10.039",,mitochondrial ROS,aging,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
2,"GBD 2019 Diseases and Injuries Collaborators. (2020). Global burden of 369 diseases and injuries in 204 countries and territories, 1990–2019. The Lancet, 396(10258), 1204–1222. https://doi.org/10.1016/S0140-6736(20)30925-9",,,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
3,"López-Otín, C., Blasco, M.A., Partridge, L., Serrano, M., & Kroemer, G. (2013). The hallmarks of aging. Cell, 153(6), 1194–1217. https://doi.org/10.1016/j.cell.2013.05.039",,,aging,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
4,"López-Otín, C., Blasco, M.A., Partridge, L., Serrano, M., & Kroemer, G. (2023). Hallmarks of aging: An expanding universe. Cell, 186(2), 243–278. https://doi.org/10.1016/j.cell.2022.11.001",,,aging,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
5,"Baker, D.J., Wijshake, T., Tchkonia, T., LeBrasseur, N.K., Childs, B.G., van de Sluis, B., Kirkland, J.L., & van Deursen, J.M. (2011). Clearance of p16Ink4a-positive senescent cells delays ageing-associated disorders. Nature, 479(7372), 232–236. https://doi.org/10.1038/nature10600",,,senescent; ageing; p16,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
6,"Kennedy, E.P., & Lehninger, A.L. (1949). Oxidation of fatty acids and tricarboxylic acid cycle intermediates by isolated rat liver mitochondria. Journal of Biological Chemistry, 179, 957–972. [Historical reference — pre-DOI era]",,,,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
7,"Sagan, L. (1967). On the origin of mitosing cells. Journal of Theoretical Biology, 14(3), 225–274. https://doi.org/10.1016/0022-5193(67)90079-3",,,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
8,"Wallace, D.C., Singh, G., Lott, M.T., Hodge, J.A., Schurr, T.G., Lezza, A.M.S., Elsas, L.J., & Nikoskelainen, E.K. (1988). Mitochondrial DNA mutation associated with Leber’s hereditary optic neuropathy. Science, 242(4884), 1427–1430. https://doi.org/10.1126/science.3201231",,,,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
9,"Chan, D.C. (2006). Mitochondrial fusion and fission in mammals. Annual Review of Cell and Developmental Biology, 22, 79–99. https://doi.org/10.1146/annurev.cellbio.22.010305.104638",,mitochondrial fission; mitochondrial fusion,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
10,"Martini, H., & Passos, J.F. (2023). Cellular senescence: all roads lead to mitochondria. FEBS Journal, 290(5), 1186–1202. https://doi.org/10.1111/febs.16361",,,cellular senescence; senescence,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
11,"Chapman, J., Fielder, E., & Passos, J.F. (2019). Mitochondrial dysfunction and cell senescence: deciphering a complex relationship. FEBS Letters, 593(13), 1566–1579. https://doi.org/10.1002/1873-3468.13498",,,senescence,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
12,"Wiley, C.D., Velarde, M.C., Lecot, P., Liu, S., Sarnoski, E.A., Freund, A., Shirakawa, K., Lim, H.W., Davis, S.S., Ramanathan, A., Gerencser, A.A., Verdin, E., & Campisi, J. (2016). Mitochondrial dysfunction induces senescence with a distinct secretory phenotype. Cell Metabolism, 23(2), 303–314. https://doi.org/10.1016/j.cmet.2015.11.011",,,senescence,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
13,"Correia-Melo, C., Marques, F.D., Anderson, R., Hewitt, G., Hewitt, R., Cole, J., Carroll, B.M., Miwa, S., Birch, J., Merz, A., Rushton, M.D., Charles, M., Jurk, D., Tait, S.W.G., Czapiewski, R., Greaves, L., Nelson, G., Mann, D., Saretzki, G., Quarato, G., Green, D.R., Adams, P.D., von Zglinicki, T., Korolchuk, V.I., & Passos, J.F. (2016). Mitochondria are required for pro-ageing features of the senescent phenotype. EMBO Journal, 35(4), 724–742. https://doi.org/10.15252/embj.201592862",,,senescent; ageing,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
14,"Ziegler, D.V., Wiley, C.D., & Velarde, M.C. (2015). Mitochondrial effectors of cellular senescence: beyond the free radical theory of aging. Aging Cell, 14(1), 1–7. https://doi.org/10.1111/acel.12287",,,cellular senescence; senescence; aging,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
15,"Sun, N., Youle, R.J., & Finkel, T. (2016). The Mitochondrial Basis of Aging. Molecular Cell, 61(5), 654–666. https://doi.org/10.1016/j.molcel.2016.01.028",,,aging,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
16,"Barabási, A.L., Gulbahce, N., & Loscalzo, J. (2011). Network medicine: a network-based approach to human disease. Nature Reviews Genetics, 12(1), 56–68. https://doi.org/10.1038/nrg2918",,NAD metabolism,,network,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
