pmid,title,journal,publication_date,phd_relevance,research_priority_category,evidence_strength,genes,why_this_paper_matters,direction_needs_review,confidence_overall
41467422,Targeting innovative therapeutic approaches to the hallmarks of aging to combat Alzheimer's disease.,Neural regeneration research,2025-12-30,peripheral,Peripheral,unclear,unclear,unclear,True,low
41489261,TCAB1: a key promoter of tumor growth through telomere maintenance and senescence evasion.,"Cell cycle (Georgetown, Tex.)",2026-01-05,unclear,Moderate,unclear,TCAB1,unclear,False,low
41988659,The complex relationship between oxidative stress and aging: new perspectives on similarities and differences.,Critical reviews in clinical laboratory sciences,2026-04-16,unclear,Moderate,unclear,unclear,unclear,False,low
42061603,Long-chain chlorinated paraffins (LCCPs) exposure induces testicular aging damage by triggering mitochondrial dysfunction.,Toxicology,2026-04-28,unclear,High,moderate,"TFEB, p16, p21","This paper provides critical insights into how LCCPs exposure triggers testicular senescence through mitochondrial dysfunction and lysosomal impairment, offering potential targets for mitigating environmental toxicant impacts on male reproductive health.",False,high
42105620,Transcriptome and metabolome analysis reveals that cuproptosis in bovine cumulus cells triggers the intercellular transmission of senescence and mitochondrial dysfunction to impair oocyte quality.,Theriogenology,2026-05-05,unclear,Moderate,moderate,"AKT3, MORC3, RBL1, TGFB2, SIRT1, CHEK2, FBXO5, CCNB3, PLK1, PPM1D, DNMT3B, KMT2A","This paper provides key insights into how cuproptosis in bovine cumulus cells can trigger senescence and mitochondrial dysfunction, leading to impaired oocyte maturation. The findings have implications for understanding reproductive health and potential interventions for female infertility.",True,high
42105790,FMO1 disrupts mitochondrial functional homeostasis through ROS-mediated mechanisms to drive chondrocyte senescence and hypertrophy.,Free radical biology & medicine,2026-05-07,unclear,Moderate,moderate,"FMO1, Drp1, Mfn1, Mfn2",unclear,False,medium
42162843,Nanoplastic exposure induces mitochondrial dysfunction-driven inflammation and senescence in renal tubular epithelial cells.,Free radical biology & medicine,2026-05-19,direct,High,strong,Pgc1a,"This paper identifies mitochondrial dysfunction as a central mechanism in nanoplastic-induced renal inflammation and senescence, providing a therapeutic target via PGC1α activation for mitigating kidney damage from nanoplastic exposure. The mechanistic dissociation between inflammation and senescence offers insights into the complex pathophysiology of nanoplastic toxicity in the kidney, with potential applications in environmental health and regenerative medicine.",True,high
42167416,ALDH2 alleviates diabetes-induced myocardial cell senescence and electrical remodeling by regulating SIRT1.,Free radical biology & medicine,2026-05-20,supporting,Moderate,moderate,"ALDH2, SIRT1","This paper identifies a specific molecular pathway (ALDH2/SIRT1) that regulates mitochondrial homeostasis in diabetes-induced cardiomyocyte senescence, providing a potential therapeutic target for reducing cardiac arrhythmias in diabetic patients. However, it focuses on a single disease context (diabetes) and does not provide multi-omics data for broader senescence analysis.",True,medium
42250782,"Ferro-aging: A novel paradigm linking iron overload, lipid peroxidation and cellular senescence.",Free radical biology & medicine,2026-06-06,unclear,Moderate,unclear,unclear,unclear,False,low
42295784,Engineered Exosomal miR-146a-5p Reprograms BMSC Fate and Restores Mitochondrial Homeostasis in Glucocorticoid-Induced Osteonecrosis of Femoral Head.,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2026-06-15,direct,High,moderate,"TRAF6, NF-κB",Unclear,True,medium
42296967,"The senescence-stiffening loop: Extracellular matrix remodeling, hypoperfusion, and mitochondrial dysfunction drive tissue aging.",Cell metabolism,2026-06-15,supporting,Moderate,unclear,unclear,"This paper identifies mitochondrial dysfunction as a critical driver of cellular senescence in the context of tissue aging, providing a potential therapeutic target for maintaining vascular integrity and mitochondrial health during aging. However, the study is primarily theoretical and does not provide experimental evidence for mitochondrial dysfunction mechanisms.",False,medium
42327492,Neonatal muscle-derived extracellular vesicles containing miR-542-3p rejuvenate aged skeletal muscle via a functional microneedle patch.,Bioactive materials,2026-06-13,unclear,Moderate,unclear,"Asxl2, PPARγ, Eef1a1, AMPK",unclear,False,medium
42365779,Sirtuin 3 alleviates ovarian granulosa cell senescence through regulating mitochondrial quality control.,Theriogenology,2026-06-25,direct,High,strong,SIRT3,"This paper demonstrates a direct link between SIRT3 and mitochondrial quality control in granulosa cells, showing how SIRT3 downregulation contributes to senescence in aged ovarian follicles through impaired mitophagy, elevated ROS, and increased mitochondrial fragmentation. This finding is critical for understanding the mechanisms of follicular development and potential interventions for age-related reproductive decline.",False,high
42365869,miR-205-5p accelerates lung fibroblast senescence in IPF patients via mediation of mitochondrial dynamics.,Mitochondrion,2026-06-28,direct,High,strong,MTFR1L,"This paper identifies miR-205-5p as a critical regulator of cellular senescence in lung fibroblasts from IPF patients via mediation of mitochondrial dynamics, providing a potential target for therapeutic intervention in IPF.",True,high
42385795,A critical role for mitochondrial dynamics in cigarette smoke condensate-induced RPE senescence.,Free radical biology & medicine,2026-07-01,direct,High,strong,"DRP1, PGAM5","This paper identifies impaired DRP1-dependent mitochondrial remodeling as a key mechanism linking cigarette smoke condensate exposure to RPE senescence in AMD, suggesting that modulating RPE mitochondrial dynamics could be a therapeutic strategy for delaying AMD progression. The study provides mechanistic insights into how mitochondrial dynamics affect RPE senescence and oxidative stress, with potential applications in developing targeted interventions for AMD.",False,high
