pmid,title,O1_conserved_signature_level,O1_conserved_signature_matches,O2_multiomics_integration_level,O2_modalities,O3_hub_gene_level,O3_hub_gene_matches,O4_core_mito_process_level,O4_core_mito_process_matches,O5_mechanistic_connection_level,O5_mechanistic_sentence_count,O5_strong_causal_sentence_count,O5_connected_sentence_count,O5_relational_mechanistic_sentence_count,O5_title_connected,O5_title_strong_mechanistic,O5_title_relational_mechanism,objective_feature_engine_version,biological_vocabulary_version,objective_feature_status
42413386,A dual-engineered chondrocyte-targeting tetrahedral DNA-based nanoparticle for improved delivery of metformin and alleviation in osteoarthritis.,0,,0,,0,,0,,0,0,0,0,0,0,0,0,1.0,1.0,canonical_candidate
42526698,Inhibition of ETS1/DRP1 axis attenuates intervertebral disc degeneration by suppressing excessive mitochondrial fission.,0,,0,,2,DNM1L; DRP1,1,mitochondrial fission,3,1,1,2,1,0,0,0,1.0,1.0,canonical_candidate
41489261,TCAB1: a key promoter of tumor growth through telomere maintenance and senescence evasion.,0,,0,,0,,0,,2,0,0,0,0,0,0,0,1.0,1.0,canonical_candidate
42628756,Dapagliflozin attenuates cellular senescence and mitochondrial dysfunction in diabetic kidney disease: potential involvement of AMPK/Sirt3 signaling.,0,,0,,0,,2,mitochondrial dynamics; mitochondrial membrane potential,2,0,0,2,0,1,0,0,1.0,1.0,canonical_candidate
42562239,FOXO3 counteracts oxidative stress-induced nucleus pulposus cell senescence via BNIP3-mediated mitophagy in intervertebral disc degeneration.,0,,1,transcriptomics,0,,2,mitochondrial membrane potential; mitochondrial quality control; mitophagy,3,1,0,3,1,1,1,1,1.0,1.0,canonical_candidate
42556484,The role and mechanisms of the cGAS-STING signaling pathway in age-related pathophysiological processes: challenges and therapeutic strategies.,0,,0,,1,DRP1,0,,3,1,0,1,1,0,0,0,1.0,1.0,canonical_candidate
42498093,Impaired mitochondrial quality control and stress signalling machinery modulate senescence induction by genotoxic challenge.,0,,0,,1,PINK1,2,mitochondrial quality control; mitophagy,2,2,0,3,0,1,0,0,1.0,1.0,canonical_candidate
42365869,miR-205-5p accelerates lung fibroblast senescence in IPF patients via mediation of mitochondrial dynamics.,0,,0,,0,,2,mitochondrial dynamics; mitochondrial fission,2,2,0,2,0,1,0,0,1.0,1.0,canonical_candidate
42327492,Neonatal muscle-derived extracellular vesicles containing miR-542-3p rejuvenate aged skeletal muscle via a functional microneedle patch.,0,,0,,0,,0,,2,2,0,2,0,0,0,0,1.0,1.0,canonical_candidate
42155175,A sono-piezoelectric scaffold prompts disc regeneration by activating Ca2+/CaMKII/Parkin-mediated mitophagy.,0,,1,transcriptomics,1,PINK1,2,mitochondrial quality control; mitophagy,3,0,0,1,1,0,0,0,1.0,1.0,canonical_candidate
42365779,Sirtuin 3 alleviates ovarian granulosa cell senescence through regulating mitochondrial quality control.,0,,1,transcriptomics,0,,2,mitochondrial quality control; mitophagy,2,2,1,3,0,1,0,0,1.0,1.0,canonical_candidate
42598138,MnO2-armored human embryonic stem cell exosomes delay intervertebral disc degeneration via synergistic antioxidant defense and regenerative signal delivery.,0,,0,,0,,1,mitochondrial membrane potential,2,0,0,0,0,0,0,0,1.0,1.0,canonical_candidate
42586389,PRMT6 drives hearing loss by promoting asymmetric arginine dimethylation-mediated FOXG1 degradation and suppressing mitophagy.,0,,0,,0,,2,mitochondrial membrane potential; mitophagy,2,1,1,1,0,0,0,0,1.0,1.0,canonical_candidate
42562163,Acute lung injury in the context of aging: Pathogenetic mechanisms and therapeutic strategies.,0,,0,,0,,0,,2,1,1,1,0,0,0,0,1.0,1.0,canonical_candidate
42551124,FABP5 drives silica-induced myofibroblast senescence and pulmonary fibrosis through a FASN/UCP2 metabolic-mitochondrial axis.,0,,0,,0,,0,,2,0,0,1,0,0,0,0,1.0,1.0,canonical_candidate
42543123,Brain aging clocks: From methodological advances to cellular mechanisms.,0,,0,,0,,0,,0,0,0,0,0,0,0,0,1.0,1.0,canonical_candidate
42537338,Histone deacetylase inhibition alters mRNA expression of cell cycle- and senescence-associated genes in primary equine chondrocytes.,2,consistent,1,transcriptomics,0,,1,mitochondrial homeostasis,2,0,0,0,0,0,0,0,1.0,1.0,canonical_candidate
42521026,"Complosome as a key modulator of cellular senescence, aging and age-related diseases.",0,,0,,0,,0,,2,0,0,1,0,0,0,0,1.0,1.0,canonical_candidate
42501526,Low-frequency pulsed electromagnetic fields inhibit the NETs/PADI4/MFN2 axis to ameliorate BMSC senescence in the treatment of rheumatoid arthritis.,0,,0,,1,MFN2,0,,2,1,0,1,0,0,0,0,1.0,1.0,canonical_candidate
42468575,Palmitoylation in cardiovascular aging and disease: Mechanistic insights and therapeutic opportunities.,0,,0,,0,,0,,2,1,0,1,0,0,0,0,1.0,1.0,canonical_candidate
42442596,PFDA exposure promotes myocardial aging and fibrosis via hyperactivation of the MTORC1 signaling axis.,0,,0,,0,,1,mitochondrial membrane potential,2,1,0,1,0,0,0,0,1.0,1.0,canonical_candidate
42442011,Immuno-metabolic reprogramming in pulmonary fibrosis: Emerging therapeutic targets beyond inflammation.,0,,0,,0,,0,,2,0,0,1,0,0,0,0,1.0,1.0,canonical_candidate
42431471,ASAP3 deficiency alleviates hepatic senescence and correlates with extended healthspan in mice.,0,,0,,0,,2,mitochondrial ROS; mitochondrial membrane potential,2,1,1,1,0,0,0,0,1.0,1.0,canonical_candidate
42385795,A critical role for mitochondrial dynamics in cigarette smoke condensate-induced RPE senescence.,0,,0,,1,DRP1,2,mitochondrial biogenesis; mitochondrial dynamics; mitochondrial fission; mitophagy,3,2,1,4,1,1,0,1,1.0,1.0,canonical_candidate
41467422,Targeting innovative therapeutic approaches to the hallmarks of aging to combat Alzheimer's disease.,0,,0,,0,,0,,1,0,0,1,0,0,0,0,1.0,1.0,canonical_candidate
42105620,Transcriptome and metabolome analysis reveals that cuproptosis in bovine cumulus cells triggers the intercellular transmission of senescence and mitochondrial dysfunction to impair oocyte quality.,0,,2,transcriptomics; metabolomics,0,,0,,2,0,0,0,0,1,0,0,1.0,1.0,canonical_candidate
42710873,SIRT3-dependent mitochondrial redox homeostasis protects against age-related tendon degeneration.,0,,0,,0,,0,,2,0,0,0,0,0,0,0,1.0,1.0,canonical_candidate
42711289,CAFs-mediated histone lactylation reprograms cholesterol metabolism in colorectal cancer to drive CD8+ T cell immunosuppression.,0,,0,,0,,0,,3,2,0,2,1,0,0,0,1.0,1.0,canonical_candidate
42710703,Senotherapeutic Potential of Anti-Diabetic Medications: Bridging Type 2 Diabetes and Accelerated Aging.,0,,0,,0,,1,mitochondrial homeostasis,2,1,0,2,0,0,0,0,1.0,1.0,canonical_candidate
42697334,"Posttranslational Oxidation of SOD1 and Skin Aging: Evidence, Gaps, and Future Directions.",0,,1,proteomics,0,,0,,1,0,0,1,0,0,0,0,1.0,1.0,canonical_candidate
42692941,"Acute Kidney Injury-to-Chronic Kidney Disease Transition: Clinical Evidence, Pathophysiologic Mechanisms, and Emerging Role of Traditional Chinese Medicine.",0,,0,,0,,0,,2,0,0,0,0,0,0,0,1.0,1.0,canonical_candidate
42690451,Stress biology and metabolic ageing in older adults during prolonged crises: Ukraine as an example.,0,,0,,0,,0,,2,1,0,1,0,0,0,0,1.0,1.0,canonical_candidate
42680955,"Frailty assessment in naturally aged mouse models: classification, limitations, and future directions.",0,,0,,0,,0,,2,1,0,1,0,0,0,0,1.0,1.0,canonical_candidate
42623148,An Adiponectin Receptor Agonist Dispersed via Nonencapsulative Exosomes Alleviates Aging-Associated Cardiac Dysfunction.,0,,1,transcriptomics,0,,0,,0,0,0,0,0,0,0,0,1.0,1.0,canonical_candidate
42717261,NAD+ Metabolic Reprogramming Drives CD8+ T Cells Senescence and Exacerbates Ulcerative Colitis.,0,,1,transcriptomics,0,,0,,2,1,1,1,0,0,0,0,1.0,1.0,canonical_candidate
42712045,3D Culture Reverses Limbal Niche Cell Replicative Aging via FOSL1 Upregulation.,0,,1,transcriptomics,0,,1,mitochondrial membrane potential,2,0,0,0,0,0,0,0,1.0,1.0,canonical_candidate
42698274,Secreted Frizzled-Related Protein 2 (SFRP2) Induces Follistatin-Like 1 (FSTL1) to Regulate Dihydrotestosterone (DHT)-Induced Dermal Papilla Cell Mitochondrial Dysfunction and Senescence.,0,,0,,0,,0,,2,2,1,2,0,1,0,0,1.0,1.0,canonical_candidate
42682802,Broccoli-licorice-passionflower blend improves mitochondrial function and exerts senotherapeutic effects.,0,,0,,0,,1,mitophagy,2,0,0,0,0,0,0,0,1.0,1.0,canonical_candidate
42670888,Hypoxia-Induced Lactylation of NSUN3 Promotes m5C Methylation of SETD2 to Regulate Peripheral Nerve Injury Repair.,0,,0,,0,,1,mitochondrial biogenesis,2,1,1,1,0,0,0,0,1.0,1.0,canonical_candidate
42639736,DHCR24 Alleviates DNA Damage in Senescent Vascular Endothelial Cells via ENKUR/Ca2+ Signaling.,0,consistent,1,transcriptomics,0,,1,mitochondrial homeostasis,2,1,0,1,0,0,0,0,1.0,1.0,canonical_candidate
42627104,hTERT Immortalization Stabilizes Human Umbilical Cord MSCs and Maintains Their Small Extracellular Vesicles With Preserved Immunomodulatory Activity and Primordial Follicle-Activating Capacity.,2,consistent,1,proteomics,0,,1,mitochondrial homeostasis,2,1,0,1,0,0,0,0,1.0,1.0,canonical_candidate
42501684,Cadmium induces renal injury via a BMAL1-dependent inflammatory and senescence cascade: Attenuation by Lycium barbarum polysaccharide and melatonin.,0,,0,,0,,1,mitochondrial homeostasis,2,1,0,2,0,0,0,0,1.0,1.0,canonical_candidate
42468696,Manganese overload as a previously underappreciated trigger of cellular senescence: Unraveling mechanisms and therapeutic rescue by the senolytic quercetin.,0,,0,,0,,0,,2,1,0,1,0,0,0,0,1.0,1.0,canonical_candidate
42464641,From cell to disease: Regulatory networks and mechanisms of super‑enhancers in aging (Review).,0,,0,,0,,0,,2,0,0,1,0,0,0,0,1.0,1.0,canonical_candidate
42429052,Endocrine‑metabolic imbalance drives osteoarthritis: From whole‑joint pathobiology to precision therapy (Review).,0,,0,,0,,0,,2,1,0,1,0,0,0,0,1.0,1.0,canonical_candidate
42401268,Activation of Sirt3 reprograms mitochondrial function to regenerate intervertebral disc degeneration.,0,,1,transcriptomics,0,,1,mitochondrial homeostasis,2,0,0,0,0,0,0,0,1.0,1.0,canonical_candidate
42391447,Acylglycerol Kinase Sensitizes Glioblastoma to Temozolomide via Limiting Mitochondrial Damage Related Cellular Senescence.,0,,0,,0,,1,mitochondrial ROS,2,1,0,1,0,0,0,0,1.0,1.0,canonical_candidate
42361498,Mallotus japonicus leaf extract restores TRPM6 magnesium channel expression and suppresses cellular senescence in colonic epithelial cells.,2,consistent,1,transcriptomics,0,,1,mitochondrial membrane potential,2,0,0,1,0,0,0,0,1.0,1.0,canonical_candidate
